,ISSN,Title,Business Model,USD
0,2376-0605,AACE Clinical Case Reports,Open access,900
1,2374-2895,Academic Pathology,Open access,1950
2,1876-2859,Academic Pediatrics,Hybrid,3000
3,1076-6332,Academic Radiology,Hybrid,3320
4,0001-4575,Accident Analysis & Prevention,Hybrid,3940
5,2949-9453,Accounting Theory and Practice,Open access,1500
6,0361-3682,"Accounting, Organizations and Society",Hybrid,3680
7,0094-5765,Acta Astronautica,Hybrid,2950
8,1742-7061,Acta Biomaterialia,Hybrid,3210
9,0122-7262,Acta Colombiana de Cuidado Intensivo,Hybrid,1920
10,1872-2032,Acta Ecologica Sinica,Hybrid,2500
11,0065-1281,Acta Histochemica,Hybrid,2950
12,1359-6454,Acta Materialia,Hybrid,3210
13,1146-609X,Acta Oecologica,Hybrid,2900
14,2173-5735,Acta Otorrinolaringologica (English Edition),Hybrid,2680
15,0001-6519,Acta Otorrinolaringologica Española,Hybrid,2680
16,2211-3835,Acta Pharmaceutica Sinica B,,**
17,0001-6918,Acta Psychologica,Open access,1900
18,0001-706X,Acta Tropica,Hybrid,3040
19,0001-7310,Actas Dermo-Sifiliográficas,Open access,**
20,0210-4806,Actas Urológicas Españolas,Hybrid,2760
21,2173-5786,Actas Urológicas Españolas (English Edition),Hybrid,2760
22,1570-8705,Ad Hoc Networks,Hybrid,2610
23,2772-3925,Addiction Neuroscience,Open access,2500
24,0306-4603,Addictive Behaviors,Hybrid,4060
25,2352-8532,Addictive Behaviors Reports,Open access,2940
26,2214-8604,Additive Manufacturing,Hybrid,3580
27,2772-3690,Additive Manufacturing Letters,Open access,1250
28,0169-409X,Advanced Drug Delivery Reviews,Hybrid,5150
29,1474-0346,Advanced Engineering Informatics,Hybrid,3570
30,0921-8831,Advanced Powder Technology,Hybrid,2800
31,2773-045X,Advanced Sensor and Energy Materials,Open access,1600
32,0882-6110,Advances in Accounting,Hybrid,3020
33,2666-7924,Advances in Applied Energy,Open access,3600
34,0196-8858,Advances in Applied Mathematics,Hybrid,2880
35,2773-1391,Advances in Bamboo Science,Open access,1200
36,2212-4926,Advances in Biological Regulation,Hybrid,3690
37,2667-3940,Advances in Cancer Biology - Metastasis,Open access,2800
38,0001-8686,Advances in Colloid and Interface Science,Hybrid,4850
39,0965-9978,Advances in Engineering Software,Hybrid,3980
40,2666-9129,Advances in Industrial and Manufacturing Engineering,Open access,2020
41,2212-9588,Advances in Integrative Medicine,Hybrid,1980
42,2949-8139,Advances in Kidney Disease and Health,Hybrid,3200
43,1040-2608,Advances in Life Course Research,Hybrid,3540
44,0001-8708,Advances in Mathematics,Hybrid,3480
45,1896-1126,Advances in Medical Sciences,Hybrid,1700
46,2161-8313,Advances in Nutrition,Open access,5000
47,2667-3762,Advances in Ophthalmology Practice and Research,Open access,1600
48,2667-1476,Advances in Oral and Maxillofacial Surgery,Open access,1650
49,2452-1094,Advances in Radiation Oncology,Open access,2000
50,2667-1379,Advances in Redox Research,Open access,1500
51,2772-5820,Advances in Sample Preparation,Open access,1250
52,0273-1177,Advances in Space Research,Hybrid,2600
53,0309-1708,Advances in Water Resources,Hybrid,3730
54,1875-9637,Aeolian Research,Hybrid,3090
55,1270-9638,Aerospace Science and Technology,Hybrid,4230
56,1434-8411,AEÜ - International Journal of Electronics and Communications,Hybrid,3090
57,2211-419X,African Journal of Emergency Medicine,Open access,1350
58,2950-1962,African Transport Studies,Hybrid,1500
59,1568-1637,Ageing Research Reviews,Hybrid,4820
60,1359-1789,Aggression and Violent Behavior,Hybrid,3620
61,2667-0321,Aging and Health Research,Open access,2000
62,2589-9589,Aging Brain,Open access,2000
63,0168-1923,Agricultural and Forest Meteorology,Hybrid,3750
64,0308-521X,Agricultural Systems,Hybrid,3820
65,0378-3774,Agricultural Water Management,Open access,2600
66,2949-7981,Agriculture Communications,Open access,1600
67,0167-8809,"Agriculture, Ecosystems & Environment",Hybrid,3690
68,2090-4479,Ain Shams Engineering Journal,Open access,860
69,1067-991X,Air Medical Journal,Hybrid,2560
70,2950-2535,AJO International,Open access,1800
71,2666-4305,AJO-DO Clinical Companion,Hybrid,3000
72,2666-5778,AJOG Global Reports,Open access,1800
73,2773-0654,AJPM Focus,Open access,1800
74,0741-8329,Alcohol,Hybrid,3500
75,1110-0168,Alexandria Engineering Journal,Open access,1200
76,2211-9264,Algal Research,Hybrid,3640
77,1323-8930,Allergology International,Open access,2280
78,0002-8703,American Heart Journal,Hybrid,3800
79,2666-6022,American Heart Journal Plus: Cardiology Research and Practice,Open access,2650
80,0735-6757,American Journal of Emergency Medicine,Hybrid,3400
81,0196-6553,American Journal of Infection Control,Hybrid,3090
82,0272-6386,American Journal of Kidney Diseases,Hybrid,3700
83,2667-0364,American Journal of Medicine Open,Open access,2400
84,0002-9378,American Journal of Obstetrics & Gynecology,Hybrid,5050
85,2589-9333,American Journal of Obstetrics & Gynecology MFM,Hybrid,2320
86,0002-9394,American Journal of Ophthalmology,Hybrid,4390
87,2451-9936,American Journal of Ophthalmology Case Reports,Open access,1160
88,0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,Hybrid,4070
89,0196-0709,American Journal of Otolaryngology,Hybrid,3490
90,0002-9459,American Journal of Pharmaceutical Education,Hybrid,2400
91,2666-6677,American Journal of Preventive Cardiology,Open access,1600
92,0749-3797,American Journal of Preventive Medicine,Hybrid,3000
93,1600-6135,American Journal of Transplantation,Hybrid,4300
94,2215-0390,Ampersand,Open access,1300
95,1075-9964,Anaerobe,Hybrid,3170
96,2352-5568,Anaesthesia Critical Care & Pain Medicine,Hybrid,2020
97,0365-0596,Anais Brasileiros de Dermatologia,Open access,1700
98,1695-4033,Anales de Pediatría,,**
99,2341-2879,Anales de Pediatría (English Edition),,**
100,2213-6657,Analytic Methods in Accident Research,Hybrid,4560
